Orthogroup	Agabi_varbur_1	Altal1	Altalt1	Altbr1	Altro1	Amamu1	Armost1	Ascsa1	Aspcam1	Aspnov1	Aspoch1	Asptaic1	Bauco1	Blugr2	BlugrR1_1	Boeex1	Botbo1	Botci1	Cadsp1	Cenge3	Chafu1	Chagl1	Chagl_1	Chalo1	Chame1	Clapu1	Cocsa1	Cocvi1	Colch1	Colhig2	Colto1	Copci1	Copph3	Corca1	Cylol1	Daces1	Dacma1	DalEC12_1	Denna1	Dipse1	Falor1	Fusco1	Fuscu1	Fuseq1	Fusfu1	Fusgr1	Fusox2	Fusoxy1	Fusoxys1	Fusre1	Fusso1	Fustr1	Fustri1	Fusve2	Fusven1	Gaegr1	Galma1	Geopyr1	Gigmar1	Gigro1	Gyman1	Hebcy2	Helo229	Hetan2	Ilyeu1	Lacbi2	Lepmu1	Lepor2	Lobtra1	Macph1	Macpha1	Maggr1	MagnaMG8	MagorGY11_1	Melbi2	Melva1	Micbo1	Mictri1	Morco1	Morel2	Morel_U14_1	Mycfi2	Mycgr3	Neodi1	Neora1	Neucr2	Oidma1	Olipa1	Parch1	Parchr1	Paxin1	Pensub1	Perma1	Phapo1	Phimu1	Phisc1	Pilcr1	Pismi1	Plecuc1	Plecucu2	PleosPC15_1	Pyrly1	Pyrsp1	Pyrtr1	Pyrtt1	Ramcocy1	Rhesp1	Rhice1_1	Rhicl1	Rhidi1	Rhier1	Rhiir2_1	Rhyag1	Rhyco1	Rhyse1	Schco1	Sclci1	Sclsc1	Sebve1	Sindi4	Sodal1	Sorhu1	Spogr1	Spore1	Spoth2	Stael1	Stano2	Stely1	Thacu1	Thite2	Tilin1	Trave1	Triat2	Trire2	TriviGv29_8_2	Truan1	Tubae1	Tubma1	Tulca1	U_tricho_v1	Ustbr1	Usthor1	Ustma2_2	Veral1	Verda1	VerdaJR2	Verdah1	Zalva1	Zpa63	Zymtr1	Total
OG0000000	12	24	24	17	17	7	26	7	9	17	5	7	14	4	4	29	5	24	54	11	13	14	12	37	15	5	17	15	19	26	25	14	30	24	21	25	33	13	26	18	16	15	14	17	16	17	24	21	21	23	29	18	18	16	19	11	26	0	1	0	40	11	18	13	30	12	12	40	2	24	32	15	16	16	25	32	17	16	8	10	9	12	10	21	34	6	35	3	24	22	19	16	25	22	41	36	18	2	18	24	19	26	20	14	14	17	24	0	0	0	17	0	19	19	16	13	7	9	3	9	1	5	7	6	5	17	15	19	19	10	10	16	9	10	17	33	0	1	2	8	4	3	6	15	16	14	16	29	10	11	2407
OG0000001	11	28	29	18	31	2	17	5	4	8	6	3	1	1	1	21	31	7	22	5	28	36	36	24	37	1	23	22	25	24	25	29	52	30	13	14	12	25	43	10	26	14	13	12	13	13	14	14	15	11	13	14	12	13	14	19	18	0	0	0	5	1	13	10	13	3	15	20	0	11	11	18	18	19	3	20	18	21	23	0	0	3	1	10	14	14	8	32	39	41	3	7	33	33	24	19	1	3	25	27	24	35	36	24	24	4	17	0	0	0	6	0	14	13	13	17	2	8	23	20	19	17	0	0	19	36	25	23	31	17	0	17	3	2	3	28	4	3	27	0	0	0	0	18	21	19	22	30	1	2	2254
OG0000002	8	3	4	4	6	15	9	10	3	6	6	3	4	4	4	7	15	12	11	7	14	14	12	25	15	11	6	7	9	14	12	4	6	5	14	11	11	12	6	10	14	12	8	12	14	11	14	13	12	11	14	13	12	14	9	14	6	4	27	35	12	6	11	10	12	8	4	12	10	9	11	12	11	10	12	24	7	8	3	20	22	5	4	12	14	15	19	6	6	7	12	7	4	6	11	21	13	8	14	16	9	5	6	6	7	3	12	2	7	3	17	5	11	10	11	10	8	8	9	9	7	13	7	6	10	12	3	2	14	13	9	15	12	11	12	13	2	2	17	13	6	6	7	12	11	12	11	11	9	13	1511
OG0000003	0	2	1	2	1	1	1	3	3	3	1	3	0	0	0	6	1	2	5	6	6	2	2	6	4	1	1	2	5	6	8	0	1	10	3	6	7	3	8	4	6	5	5	4	7	4	8	5	7	7	1	4	5	5	5	7	2	8	195	98	1	1	1	1	6	1	2	6	26	3	6	10	12	12	4	5	3	3	12	48	47	1	2	3	4	6	4	1	7	6	0	1	5	6	4	7	1	1	12	9	0	3	3	2	2	1	3	71	62	67	2	86	1	2	1	0	0	2	1	1	1	9	2	2	2	8	1	1	1	3	1	1	0	1	1	2	8	5	1	2	1	1	2	2	3	7	6	6	1	2	1197
OG0000004	10	6	6	4	6	13	24	3	3	4	6	3	2	2	2	8	4	4	19	6	9	4	5	16	5	1	5	5	10	9	10	16	14	13	6	8	8	3	10	7	8	12	5	6	6	8	15	11	10	9	8	7	7	9	8	6	7	1	31	19	22	2	7	17	11	13	3	14	2	10	14	9	9	9	17	14	6	5	2	4	6	7	5	5	9	9	12	7	8	9	9	7	14	7	13	21	15	9	6	6	12	9	4	6	6	4	12	6	7	4	10	7	8	7	7	4	8	4	6	3	4	11	2	3	2	3	4	5	22	7	1	8	5	4	5	10	4	4	2	5	3	3	3	4	5	5	5	9	3	5	1156
OG0000005	3	11	10	6	12	12	10	0	8	10	5	10	1	0	0	9	9	4	10	5	9	13	10	12	12	0	6	6	10	13	16	8	4	20	9	7	7	9	10	5	8	10	5	11	8	9	15	12	10	11	13	11	10	13	8	5	7	0	0	0	13	2	6	3	11	2	2	14	2	9	11	6	7	6	5	11	4	5	5	0	0	2	1	8	11	3	12	6	12	11	13	6	17	13	8	10	6	1	7	7	4	9	11	9	5	0	5	0	0	0	3	0	2	1	1	0	4	4	4	3	4	5	0	0	5	15	5	5	14	5	2	4	8	4	4	15	7	1	0	0	0	0	0	5	3	5	4	11	1	2	964
OG0000006	10	16	15	7	12	1	33	0	0	4	4	0	3	0	0	10	3	7	9	3	5	8	7	11	8	0	11	11	9	10	10	22	27	15	2	6	5	3	11	5	8	5	5	4	5	5	7	4	5	6	2	8	7	7	5	6	17	0	0	0	15	11	5	14	3	8	7	7	0	12	17	5	5	3	3	5	3	6	3	0	0	3	3	4	3	0	3	14	9	12	0	4	11	7	6	10	6	0	9	7	23	10	9	10	7	5	7	0	0	0	2	0	9	10	8	7	0	6	9	7	5	5	5	5	3	11	8	8	7	3	3	7	1	1	2	9	2	1	3	8	5	4	6	8	5	6	7	17	3	3	962
OG0000007	8	7	6	5	7	7	9	6	4	5	4	5	3	4	4	5	3	5	10	5	3	3	4	13	4	4	7	7	8	11	12	3	7	5	10	11	14	8	5	7	5	6	5	8	9	6	9	9	9	7	14	9	11	8	8	3	8	0	12	13	9	8	5	5	13	3	3	10	1	5	10	4	4	4	7	11	7	7	4	2	2	12	6	6	11	3	5	11	9	9	5	6	9	10	7	12	7	2	10	7	3	3	6	6	5	7	9	5	6	4	6	4	5	6	4	3	6	5	2	4	6	3	4	4	2	5	4	5	10	3	5	12	3	3	3	12	3	3	1	6	4	4	4	6	6	7	7	10	7	9	948
OG0000008	0	16	17	7	15	0	8	1	4	2	2	4	2	0	0	15	3	1	9	3	6	12	13	9	13	2	7	11	8	13	8	13	10	17	5	11	9	5	9	2	16	6	9	10	8	9	7	6	7	5	2	6	8	6	8	13	3	0	0	0	0	1	6	2	11	1	4	12	0	6	8	13	13	14	4	8	14	15	7	0	0	3	3	4	11	5	3	1	11	13	0	0	16	15	12	7	3	0	9	9	2	11	9	5	6	5	10	0	0	0	2	0	8	7	8	1	0	1	7	3	1	7	3	3	6	19	7	9	23	6	9	1	1	0	0	18	3	2	0	6	2	2	2	3	2	2	4	15	5	6	937
OG0000009	1	16	15	7	13	4	5	2	4	3	1	5	1	0	0	11	1	5	15	5	4	4	5	10	4	1	12	12	4	10	6	2	23	14	6	12	13	6	10	7	3	5	2	6	6	7	8	6	6	8	10	5	8	4	3	6	5	0	0	0	8	4	7	5	14	0	5	12	1	9	15	5	6	6	6	12	6	12	2	1	1	2	4	10	9	2	10	3	18	16	3	5	15	13	14	6	1	1	14	12	2	15	14	12	12	3	7	0	0	0	6	0	7	7	7	1	4	2	0	0	6	3	1	1	1	18	9	12	3	5	3	1	2	1	4	14	2	3	0	2	0	0	1	9	9	8	11	5	5	6	916
