JGI ID,Genus,Family,Order,Class,Phylum
Agabi_varbur_1,Agaricus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycetes
Altalt1,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Altro1,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Altal1,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Altbr1,Alternaria,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Amamu1,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycetes
Armost1,Armilaria,Physalacriaceae,Agaricales,Agaricomycetes,Basidiomycetes
Ascsa1,Ascocoryne,Gelatinodiscaceae,Helotiales,Leotiomycetes,Ascomycetes
Aspcam1,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycetes
Aspnov1,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycetes
Aspoch1,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycetes
Asptaic1,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycetes
Bauco1,Baudoinia,Teratosphaeriaceae,Capnodiales,Dothideomycetes,Ascomycetes
Blugr2,Blumeria,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycetes
BlugrR1_1,Blumeria,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycetes
Boeex1,Boeremia,Didymellaceae,Pleosporales,Dothideomycetes,Ascomycetes
Botbo1,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycetes
Botci1,Botrytis,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycetes
Cadsp1,Cadophora,Ploettnerulaceae,Helotiales,Leotiomycetes,Ascomycetes
Cenge3,Cenococcum,Gloniaceae,incertae sedis,Dothideomycetes,Ascomycetes
Chafu1,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycetes
Chagl1,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycetes
Chame1,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycetes
Chagl_1,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycetes
Chalo1,Chalara,,Helotiales,Leotiomycetes,Ascomycetes
Clapu1,Claviceps,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycetes
Cocsa1,Cochliobolus,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Cocvi1,Cochliobolus,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Colch1,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Colhig2,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Colto1,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Copph3,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycetes
Copci1,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycetes
Corca1,Corynespora,Corynesporascaceae,Pleosporales,Dothideomycetes,Ascomycetes
Cylol1,Cylindrocarpon,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Daces1,Dactylonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Dacma1,Dactylonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
DalEC12_1,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycetes
Denna1,Dendryphion,Torulaceae,Pleosporales,Dothideomycetes,Ascomycetes
Dipse1,Diplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycetes
Fusco1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fuseq1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusoxy1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusoxys1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusre1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusso1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fustr1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fustri1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusven1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusfu1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusgr1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusox2,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fusve2,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Fuscu1,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Gaegr1,Gaeumannomyces,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycetes
Galma1,Galerina,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycetes
Geopyr1,Geosiphon,Geosiphonaceae,Archaeosporales,Glomeromycetes,Mucoromycetes
Gigmar1,Gigaspora,Gigasporaceae,Diversisporales,Glomeromycetes,Mucoromycetes
Gigro1,Gigaspora,Gigasporaceae,Diversisporales,Glomeromycetes,Mucoromycetes
Gyman1,Gymnopus,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycetes
Zalva1,Halenospora,Tricladiaceae,Helotiales,Leotiomycetes,Ascomycetes
Falor1,Harpophora,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycetes
Hebcy2,Hebeloma,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycetes
Hetan2,Heterobasidion,Bondarzewiaceae,Boletales,Agaricomycetes,Basidiomycetes
Ilyeu1,Ilyonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Neora1,Ilyonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycetes
Lacbi2,Laccaria,Hydnangiaceae,Agaricales,Agaricomycetes,Basidiomycetes
Lepor2,Leptodontidium,Leptodontidiaceae,Helotiales,Leotiomycetes,Ascomycetes
Lepmu1,Leptosphaeria,Leptosphaeriaceae,Pleosporales,Dothideomycetes,Ascomycetes
Lobtra1,Lobosporangium,Mortierellaceae,Mortierellales,Mortierellomycetes,Mucoromycetes
Macpha1,Macrophomina,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycetes
