Soil type	Replicate	RE of Ave1	RE of 424Y	RE of Tom1
Soil1	1	0,0035696541024586	0,00193292315706095	0,0000674884431958172
Soil1	2	0,00216712787513251	0,00229069326021852	0,0000893606992154313
Soil1	3	0,00448710294920718	0,00281041714845863	0,0000783341001930483
Soil2	1	0,00172402928963019	0,00233882559495884	0,0000451473238906505
Soil2	2	0,00293993505353724	0,00225134052109154	0,0000788789569480892
Soil2	3	0,0014750708843387	0,0026313155798158	0,0000857205124351807
Soil3	1	0,000724865024721215	0,000580667536622423	0,0000693858015891125
Soil3	2	0,00046354595749537	0,00179102352188412	0,0000906081280901515
Soil3	3	0,000473286043425326	0,00182233006159533	0,0000516812324440021
Soil4	1	0,000877082395394467	0,00177865201873434	0,0000725834420778029
Soil4	2	0,000832651261492143	0,0021822014415473	0,0000869171261961107
Soil4	3	0,000576656572963637	0,00161976473791883	0,000072835433534651
Soil5	1	0,00218977749614943	0,00188659439243134	0,0000686681204033698
Soil5	2	0,00169441149834388	0,00197353798141946	0,0000854239419918942
Soil5	3	0,00224355147460358	0,00219737985290783	0,000151331506340209
Soil6	1	0,00249801871343249	0,00472653941101287	0,000167912819597137
Soil6	2	0,00238796929236732	0,00214471252692783	0,000159960132306929
Soil6	3	0,00177249835022883	0,00156458960466723	0,0000557758453509154
Soil7	1	0,000304768200415434	0,00143971603251084	0,0000482202949135363
Soil7	2	0,00025716822166866	0,00139067401913776	0,0000343340602016848
Soil7	3	0,000246692247677432	0,00165954101394267	0,0000295803777140827
Soil8	1	0,000443124587557207	0,00169441149834388	0,000107007534340336
Soil8	2	0,000551252150784243	0,00182233006159533	0,0000638479577510092
Soil8	3	0,000505500451094422	0,00189971669416462	0,0000738521782970759
Soil9	1	0,000943297196215669	0,00026808906586598	0,000113501579908833
Soil9	2	0,00398832861604372	0,00161976473791883	0,0000443717198889254
Soil9	3	0,00299132421307496	0,00161976473791883	0,0000542506519266704
Soil10	1	0,000613776061778239	0,00251539380763638	0,000130831721501013
Soil10	2	0,000609536400830866	0,00189971669416462	0,00012164798130223
Soil10	3	0,000525143745340518	0,00189971669416462	0,0000887434397778514
Soil11	1	0,000877082395394467	0,0014297711874469	0,0000802577368289226
Soil11	2	0,0010466537720081	0,00190631203276606	0,0000754039695512042
Soil11	3	0,00100750310478649	0,00133402368823671	0,000120389734435225
