Number,Genotype,Freshweight,Condition,Run
1,Mock,1035,Recol,Run2
2,Mock,906,Recol,Run2
3,Mock,620,Recol,Run2
4,Mock,649,Recol,Run2
5,Mock,601,Recol,Run2
6,Mock,1085,Recol,Run2
7,Mock,1103,Recol,Run2
8,Mock,762,Recol,Run2
9,Mock,1090,Recol,Run2
10,Mock,366,Recol,Run2
11,Mock,895,Recol,Run2
12,Mock,1013,Recol,Run2
13,Mock,700,Recol,Run2
14,Mock,828,Recol,Run2
15,Mock,530,Recol,Run2
16,Mock,826,Recol,Run2
17,Mock,1253,Recol,Run2
18,Mock,1133,Recol,Run2
19,Mock,589,Recol,Run2
20,Mock,670,Recol,Run2
21,JR2,178,Recol,Run2
22,JR2,188,Recol,Run2
23,JR2,405,Recol,Run2
24,JR2,84,Recol,Run2
25,JR2,460,Recol,Run2
26,JR2,187,Recol,Run2
27,JR2,547,Recol,Run2
28,JR2,334,Recol,Run2
29,JR2,164,Recol,Run2
30,JR2,272,Recol,Run2
31,JR2,125,Recol,Run2
32,JR2,351,Recol,Run2
33,JR2,96,Recol,Run2
34,JR2,423,Recol,Run2
35,JR2,331,Recol,Run2
36,JR2,384,Recol,Run2
37,JR2,203,Recol,Run2
38,JR2,322,Recol,Run2
39,JR2,385,Recol,Run2
40,dAve1,783,Recol,Run2
41,dAve1,287,Recol,Run2
42,dAve1,402,Recol,Run2
43,dAve1,238,Recol,Run2
44,dAve1,443,Recol,Run2
45,dAve1,254,Recol,Run2
46,dAve1,181,Recol,Run2
47,dAve1,403,Recol,Run2
48,dAve1,478,Recol,Run2
49,dAve1,865,Recol,Run2
50,dAve1,599,Recol,Run2
51,dAve1,264,Recol,Run2
52,dAve1,392,Recol,Run2
53,dAve1,307,Recol,Run2
54,dAve1,952,Recol,Run2
55,dAve1,118,Recol,Run2
56,dAve1,573,Recol,Run2
57,dAve1,244,Recol,Run2
58,dAve1,391,Recol,Run2
59,dAve1,596,Recol,Run2
60,424Y,405,Recol,Run2
61,424Y,385,Recol,Run2
62,424Y,385,Recol,Run2
63,424Y,145,Recol,Run2
64,424Y,507,Recol,Run2
65,424Y,388,Recol,Run2
66,424Y,404,Recol,Run2
67,424Y,369,Recol,Run2
68,424Y,253,Recol,Run2
69,424Y,282,Recol,Run2
70,424Y,421,Recol,Run2
71,424Y,427,Recol,Run2
72,424Y,328,Recol,Run2
73,424Y,274,Recol,Run2
74,424Y,199,Recol,Run2
75,424Y,189,Recol,Run2
76,424Y,479,Recol,Run2
77,424Y,464,Recol,Run2
78,424Y,412,Recol,Run2
79,424Y,622,Recol,Run2
80,Mock,532,Recol,Run1
81,Mock,601,Recol,Run1
82,Mock,470,Recol,Run1
83,Mock,573,Recol,Run1
84,Mock,452,Recol,Run1
85,Mock,559,Recol,Run1
86,Mock,776,Recol,Run1
87,Mock,1160,Recol,Run1
88,Mock,940,Recol,Run1
89,Mock,743,Recol,Run1
90,Mock,1124,Recol,Run1
91,JR2,153,Recol,Run1
92,JR2,298,Recol,Run1
93,JR2,244,Recol,Run1
94,JR2,613,Recol,Run1
95,JR2,203,Recol,Run1
96,JR2,302,Recol,Run1
97,JR2,128,Recol,Run1
98,JR2,201,Recol,Run1
99,JR2,266,Recol,Run1
100,JR2,328,Recol,Run1
101,JR2,149,Recol,Run1
102,JR2,557,Recol,Run1
103,JR2,485,Recol,Run1
104,dAve1,610,Recol,Run1
105,dAve1,822,Recol,Run1
106,dAve1,340,Recol,Run1
107,dAve1,564,Recol,Run1
108,dAve1,460,Recol,Run1
109,dAve1,578,Recol,Run1
110,dAve1,482,Recol,Run1
111,dAve1,540,Recol,Run1
112,dAve1,470,Recol,Run1
113,dAve1,173,Recol,Run1
114,dAve1,568,Recol,Run1
115,dAve1,345,Recol,Run1
116,424Y,474,Recol,Run1
117,424Y,376,Recol,Run1
118,424Y,512,Recol,Run1
119,424Y,240,Recol,Run1
120,424Y,686,Recol,Run1
121,424Y,343,Recol,Run1
122,424Y,466,Recol,Run1
123,424Y,605,Recol,Run1
124,424Y,314,Recol,Run1
125,424Y,81,Recol,Run1
1,Mock,652,Recol,Run3
2,Mock,763,Recol,Run3
3,Mock,502,Recol,Run3
4,Mock,419,Recol,Run3
5,Mock,330,Recol,Run3
6,Mock,462,Recol,Run3
7,Mock,393,Recol,Run3
8,Mock,312,Recol,Run3
9,Mock,480,Recol,Run3
10,Mock,579,Recol,Run3
11,Mock,472,Recol,Run3
12,Mock,577,Recol,Run3
13,Mock,495,Recol,Run3
14,Mock,526,Recol,Run3
15,Mock,538,Recol,Run3
16,Mock,552,Recol,Run3
17,Mock,391,Recol,Run3
18,Mock,400,Recol,Run3
19,JR2,126,Recol,Run3
20,JR2,154,Recol,Run3
21,JR2,256,Recol,Run3
22,JR2,206,Recol,Run3
23,JR2,264,Recol,Run3
24,JR2,18,Recol,Run3
25,JR2,84,Recol,Run3
26,JR2,180,Recol,Run3
27,JR2,377,Recol,Run3
28,JR2,455,Recol,Run3
29,JR2,171,Recol,Run3
30,JR2,218,Recol,Run3
31,JR2,165,Recol,Run3
32,JR2,303,Recol,Run3
33,JR2,115,Recol,Run3
34,JR2,50,Recol,Run3
35,JR2,167,Recol,Run3
36,JR2,285,Recol,Run3
37,JR2,192,Recol,Run3
38,JR2,110,Recol,Run3
39,424Y,440,Recol,Run3
40,424Y,356,Recol,Run3
41,424Y,297,Recol,Run3
42,424Y,161,Recol,Run3
43,424Y,294,Recol,Run3
44,424Y,263,Recol,Run3
45,424Y,285,Recol,Run3
46,424Y,283,Recol,Run3
47,424Y,367,Recol,Run3
48,424Y,480,Recol,Run3
49,424Y,251,Recol,Run3
50,424Y,322,Recol,Run3
51,424Y,248,Recol,Run3
52,424Y,555,Recol,Run3
53,424Y,295,Recol,Run3
54,424Y,190,Recol,Run3
55,424Y,156,Recol,Run3
56,dAve1,393,Recol,Run3
57,dAve1,538,Recol,Run3
58,dAve1,217,Recol,Run3
59,dAve1,292,Recol,Run3
60,dAve1,231,Recol,Run3
61,dAve1,422,Recol,Run3
62,dAve1,407,Recol,Run3
63,dAve1,285,Recol,Run3
64,dAve1,222,Recol,Run3
65,dAve1,283,Recol,Run3
66,dAve1,442,Recol,Run3
67,dAve1,277,Recol,Run3
68,dAve1,274,Recol,Run3
69,dAve1,210,Recol,Run3
70,dAve1,164,Recol,Run3
71,dAve1,614,Recol,Run3
72,dAve1,421,Recol,Run3
73,dAve1,149,Recol,Run3
74,dAve1,235,Recol,Run3
75,dAve1,242,Recol,Run3
47,Mock,860,Sterile,Run1
48,Mock,413,Sterile,Run1
49,Mock,399,Sterile,Run1
50,Mock,386,Sterile,Run1
51,Mock,410,Sterile,Run1
52,Mock,458,Sterile,Run1
53,Mock,466,Sterile,Run1
54,Mock,210,Sterile,Run1
55,JR2,85,Sterile,Run1
56,JR2,128,Sterile,Run1
57,JR2,208,Sterile,Run1
58,JR2,203,Sterile,Run1
59,JR2,248,Sterile,Run1
60,JR2,175,Sterile,Run1
61,JR2,142,Sterile,Run1
62,JR2,223,Sterile,Run1
63,JR2,518,Sterile,Run1
64,JR2,378,Sterile,Run1
65,dAve1,295,Sterile,Run1
66,dAve1,195,Sterile,Run1
67,dAve1,303,Sterile,Run1
68,dAve1,468,Sterile,Run1
69,dAve1,343,Sterile,Run1
70,dAve1,298,Sterile,Run1
71,dAve1,236,Sterile,Run1
72,dAve1,353,Sterile,Run1
73,dAve1,340,Sterile,Run1
74,dAve1,142,Sterile,Run1
75,dAve1,227,Sterile,Run1
76,dAve1,192,Sterile,Run1
77,424Y,70,Sterile,Run1
78,424Y,142,Sterile,Run1
79,424Y,223,Sterile,Run1
80,424Y,129,Sterile,Run1
81,424Y,86,Sterile,Run1
82,424Y,154,Sterile,Run1
83,424Y,260,Sterile,Run1
84,424Y,315,Sterile,Run1
85,424Y,224,Sterile,Run1
86,424Y,211,Sterile,Run1
1,Mock,657,Sterile,Run2
2,Mock,694,Sterile,Run2
3,Mock,620,Sterile,Run2
4,Mock,730,Sterile,Run2
5,Mock,563,Sterile,Run2
6,Mock,715,Sterile,Run2
7,Mock,1008,Sterile,Run2
8,Mock,679,Sterile,Run2
9,Mock,545,Sterile,Run2
10,Mock,622,Sterile,Run2
11,Mock,560,Sterile,Run2
12,Mock,549,Sterile,Run2
13,Mock,1085,Sterile,Run2
14,Mock,795,Sterile,Run2
15,Mock,697,Sterile,Run2
16,Mock,372,Sterile,Run2
17,Mock,642,Sterile,Run2
18,JR2,288,Sterile,Run2
19,JR2,326,Sterile,Run2
20,JR2,319,Sterile,Run2
21,JR2,364,Sterile,Run2
22,JR2,241,Sterile,Run2
23,JR2,197,Sterile,Run2
24,JR2,345,Sterile,Run2
25,JR2,273,Sterile,Run2
26,JR2,200,Sterile,Run2
27,JR2,105,Sterile,Run2
28,JR2,301,Sterile,Run2
29,JR2,,Sterile,Run2
30,JR2,362,Sterile,Run2
31,JR2,91,Sterile,Run2
32,JR2,370,Sterile,Run2
33,JR2,282,Sterile,Run2
34,dAve1,459,Sterile,Run2
35,dAve1,416,Sterile,Run2
36,dAve1,271,Sterile,Run2
37,dAve1,412,Sterile,Run2
38,dAve1,466,Sterile,Run2
39,dAve1,309,Sterile,Run2
40,dAve1,312,Sterile,Run2
41,dAve1,170,Sterile,Run2
42,dAve1,645,Sterile,Run2
43,dAve1,386,Sterile,Run2
44,dAve1,342,Sterile,Run2
45,dAve1,454,Sterile,Run2
46,dAve1,239,Sterile,Run2
47,dAve1,263,Sterile,Run2
48,424Y,243,Sterile,Run2
49,424Y,86,Sterile,Run2
50,424Y,507,Sterile,Run2
51,424Y,108,Sterile,Run2
52,424Y,251,Sterile,Run2
53,424Y,280,Sterile,Run2
54,424Y,323,Sterile,Run2
55,424Y,366,Sterile,Run2
56,424Y,242,Sterile,Run2
57,424Y,400,Sterile,Run2
58,424Y,375,Sterile,Run2
59,424Y,139,Sterile,Run2
60,424Y,243,Sterile,Run2
61,424Y,253,Sterile,Run2
1,Mock,374,Sterile,Run3
2,Mock,549,Sterile,Run3
3,Mock,613,Sterile,Run3
4,Mock,360,Sterile,Run3
5,Mock,367,Sterile,Run3
6,Mock,891,Sterile,Run3
7,Mock,541,Sterile,Run3
8,Mock,508,Sterile,Run3
9,Mock,522,Sterile,Run3
10,Mock,363,Sterile,Run3
11,Mock,674,Sterile,Run3
12,Mock,282,Sterile,Run3
13,Mock,639,Sterile,Run3
14,Mock,876,Sterile,Run3
15,Mock,910,Sterile,Run3
16,Mock,543,Sterile,Run3
17,Mock,272,Sterile,Run3
18,Mock,530,Sterile,Run3
19,Mock,305,Sterile,Run3
20,Mock,600,Sterile,Run3
21,JR2,129,Sterile,Run3
22,JR2,124,Sterile,Run3
23,JR2,118,Sterile,Run3
24,JR2,126,Sterile,Run3
25,JR2,105,Sterile,Run3
26,JR2,215,Sterile,Run3
27,JR2,232,Sterile,Run3
28,JR2,204,Sterile,Run3
29,JR2,187,Sterile,Run3
30,JR2,112,Sterile,Run3
31,JR2,157,Sterile,Run3
32,JR2,125,Sterile,Run3
65,JR2,81,Sterile,Run3
66,JR2,69,Sterile,Run3
67,JR2,214,Sterile,Run3
68,JR2,125,Sterile,Run3
69,JR2,124,Sterile,Run3
70,424Y,98,Sterile,Run3
71,424Y,83,Sterile,Run3
72,424Y,286,Sterile,Run3
73,424Y,117,Sterile,Run3
74,424Y,186,Sterile,Run3
75,424Y,131,Sterile,Run3
76,424Y,73,Sterile,Run3
77,424Y,159,Sterile,Run3
78,424Y,131,Sterile,Run3
79,424Y,145,Sterile,Run3
80,424Y,118,Sterile,Run3
81,424Y,113,Sterile,Run3
82,424Y,96,Sterile,Run3
83,424Y,115,Sterile,Run3
84,dAve1,409,Sterile,Run3
85,dAve1,206,Sterile,Run3
86,dAve1,412,Sterile,Run3
87,dAve1,237,Sterile,Run3
88,dAve1,497,Sterile,Run3
89,dAve1,435,Sterile,Run3
