"Strain","Protein_concentration","Treatment","Well","AUC","n","shapiro_p","ttest_p"
"12573","0_μM","MQ","C10",203.4675,3,0.411428116258159,0.00012403927005125
"12573","0_μM","MQ","D02",237.517500000001,3,0.411428116258159,0.00012403927005125
"12573","0_μM","MQ","G10",193.62,3,0.411428116258159,0.00012403927005125
"12573","8_μM","424Y","B10",-4.83000000000001,3,0.569239240135877,0.00012403927005125
"12573","8_μM","424Y","D03",12.0225,3,0.569239240135877,0.00012403927005125
"12573","8_μM","424Y","F10",0.247499999999995,3,0.569239240135877,0.00012403927005125
"17801","0_μM","MQ","B04",293.295,3,0.319109280344241,0.00559454204053085
"17801","0_μM","MQ","C08",252.555,3,0.319109280344241,0.00559454204053085
"17801","0_μM","MQ","G08",243.765000000001,3,0.319109280344241,0.00559454204053085
"17801","8_μM","424Y","B05",184.627500000001,3,0.89878816997366,0.00559454204053085
"17801","8_μM","424Y","B08",171.525000000001,3,0.89878816997366,0.00559454204053085
"17801","8_μM","424Y","F08",160.627500000001,3,0.89878816997366,0.00559454204053085
"Root65","0_μM","MQ","B06",319.7775,3,0.108617487244148,0.781973762886555
"Root65","0_μM","MQ","C09",265.102499999999,3,0.108617487244148,0.781973762886555
"Root65","0_μM","MQ","G09",268.582499999999,3,0.108617487244148,0.781973762886555
"Root65","8_μM","424Y","B07",346.17,3,0.167354726904311,0.781973762886555
"Root65","8_μM","424Y","B09",241.035,3,0.167354726904311,0.781973762886555
"Root65","8_μM","424Y","F09",229.800000000001,3,0.167354726904311,0.781973762886555
