Timepoint;Replicate;Soil;Fungus;Values
0;Repeat1;Sterile soil;WT;n.a
0;Repeat1;Sterile soil;WT;n.a
0;Repeat1;Sterile soil;WT;n.a
0;Repeat1;Sterile soil;WT;n.a
0;Repeat1;Sterile soil;WT;n.a
0;Repeat1;Sterile soil;WT;n.a
0;Repeat2;Sterile soil;WT;n.a
0;Repeat2;Sterile soil;WT;n.a
0;Repeat2;Sterile soil;WT;n.a
0;Repeat2;Sterile soil;WT;n.a
0;Repeat2;Sterile soil;WT;n.a
0;Repeat2;Sterile soil;WT;n.a
0;Repeat3;Sterile soil;WT;n.a
0;Repeat3;Sterile soil;WT;n.a
0;Repeat3;Sterile soil;WT;n.a
0;Repeat3;Sterile soil;WT;n.a
0;Repeat3;Sterile soil;WT;n.a
0;Repeat3;Sterile soil;WT;n.a
14;Repeat1;Sterile soil;WT;0,00143473499343585
14;Repeat1;Sterile soil;WT;0,0011898537731203
14;Repeat1;Sterile soil;WT;0,00118573719179204
14;Repeat1;Sterile soil;WT;0,0014297711874469
14;Repeat1;Sterile soil;WT;0,00103224418023572
14;Repeat1;Sterile soil;WT;0,00143473499343585
14;Repeat2;Sterile soil;WT;0,000594926886560154
14;Repeat2;Sterile soil;WT;0,000578658579561318
14;Repeat2;Sterile soil;WT;0,00130204948934688
14;Repeat2;Sterile soil;WT;0,000303713782543573
14;Repeat2;Sterile soil;WT;0,000609536400830866
14;Repeat2;Sterile soil;WT;0,00134330255677709
14;Repeat3;Sterile soil;WT;0,00159193814922388
14;Repeat3;Sterile soil;WT;0,00193963378015045
14;Repeat3;Sterile soil;WT;0,00138586265253944
14;Repeat3;Sterile soil;WT;0,00115331314592728
14;Repeat3;Sterile soil;WT;0,00124038181888554
14;Repeat3;Sterile soil;WT;0,000983355029352263
0;Repeat1;Sterile soil;Mutant;n.a
0;Repeat1;Sterile soil;Mutant;n.a
0;Repeat1;Sterile soil;Mutant;n.a
0;Repeat1;Sterile soil;Mutant;n.a
0;Repeat1;Sterile soil;Mutant;n.a
0;Repeat1;Sterile soil;Mutant;n.a
0;Repeat2;Sterile soil;Mutant;n.a
0;Repeat2;Sterile soil;Mutant;n.a
0;Repeat2;Sterile soil;Mutant;n.a
0;Repeat2;Sterile soil;Mutant;n.a
0;Repeat2;Sterile soil;Mutant;n.a
0;Repeat2;Sterile soil;Mutant;n.a
0;Repeat3;Sterile soil;Mutant;n.a
0;Repeat3;Sterile soil;Mutant;n.a
0;Repeat3;Sterile soil;Mutant;n.a
0;Repeat3;Sterile soil;Mutant;n.a
0;Repeat3;Sterile soil;Mutant;n.a
0;Repeat3;Sterile soil;Mutant;n.a
14;Repeat1;Sterile soil;Mutant;0,00101451084306412
14;Repeat1;Sterile soil;Mutant;0,00088012740489339
14;Repeat1;Sterile soil;Mutant;0,000853098531168646
14;Repeat1;Sterile soil;Mutant;0,0010612645141856
14;Repeat1;Sterile soil;Mutant;0,00100401740884382
14;Repeat1;Sterile soil;Mutant;0,00141989503644561
14;Repeat2;Sterile soil;Mutant;0,000709947518222807
14;Repeat2;Sterile soil;Mutant;0,000484908445037614
14;Repeat2;Sterile soil;Mutant;0,000576656572963639
14;Repeat2;Sterile soil;Mutant;0,00114138403179809
14;Repeat2;Sterile soil;Mutant;0,000702604287114658
14;Repeat2;Sterile soil;Mutant;0,00075042733461329
14;Repeat3;Sterile soil;Mutant;0,00233073387310882
14;Repeat3;Sterile soil;Mutant;0,00148019195948281
14;Repeat3;Sterile soil;Mutant;0,00159193814922388
14;Repeat3;Sterile soil;Mutant;0,00186062108992957
14;Repeat3;Sterile soil;Mutant;0,00113349991639035
14;Repeat3;Sterile soil;Mutant;0,00124900935671624
0;Repeat1;Recolonized soil;WT;n.a
0;Repeat1;Recolonized soil;WT;n.a
0;Repeat1;Recolonized soil;WT;n.a
0;Repeat1;Recolonized soil;WT;n.a
0;Repeat1;Recolonized soil;WT;n.a
0;Repeat1;Recolonized soil;WT;n.a
0;Repeat2;Recolonized soil;WT;n.a
0;Repeat2;Recolonized soil;WT;n.a
0;Repeat2;Recolonized soil;WT;n.a
0;Repeat2;Recolonized soil;WT;n.a
0;Repeat2;Recolonized soil;WT;n.a
0;Repeat2;Recolonized soil;WT;n.a
0;Repeat3;Recolonized soil;WT;n.a
0;Repeat3;Recolonized soil;WT;n.a
0;Repeat3;Recolonized soil;WT;n.a
0;Repeat3;Recolonized soil;WT;n.a
0;Repeat3;Recolonized soil;WT;n.a
0;Repeat3;Recolonized soil;WT;n.a
14;Repeat1;Recolonized soil;WT;0,000000815959001238443
14;Repeat1;Recolonized soil;WT;0,00000128482206045694
14;Repeat1;Recolonized soil;WT;0,00000147076685467524
14;Repeat1;Recolonized soil;WT;0,00000189417361342819
14;Repeat1;Recolonized soil;WT;0,00000374916304987049
14;Repeat1;Recolonized soil;WT;n.a
14;Repeat2;Recolonized soil;WT;0,00000138181891875733
14;Repeat2;Recolonized soil;WT;n.a
14;Repeat2;Recolonized soil;WT;0,00000190074970784734
14;Repeat2;Recolonized soil;WT;0,000000720249455243506
14;Repeat2;Recolonized soil;WT;0,00000444310602748281
14;Repeat2;Recolonized soil;WT;n.a
14;Repeat3;Recolonized soil;WT;0,000000329093302106054
14;Repeat3;Recolonized soil;WT;n.a
14;Repeat3;Recolonized soil;WT;0,000000483493556876197
14;Repeat3;Recolonized soil;WT;n.a
14;Repeat3;Recolonized soil;WT;n.a
14;Repeat3;Recolonized soil;WT;n.a
0;Repeat1;Recolonized soil;Mutant;n.a
0;Repeat1;Recolonized soil;Mutant;n.a
0;Repeat1;Recolonized soil;Mutant;n.a
0;Repeat1;Recolonized soil;Mutant;n.a
0;Repeat1;Recolonized soil;Mutant;n.a
0;Repeat1;Recolonized soil;Mutant;n.a
0;Repeat2;Recolonized soil;Mutant;n.a
0;Repeat2;Recolonized soil;Mutant;n.a
0;Repeat2;Recolonized soil;Mutant;n.a
0;Repeat2;Recolonized soil;Mutant;n.a
0;Repeat2;Recolonized soil;Mutant;n.a
0;Repeat2;Recolonized soil;Mutant;n.a
0;Repeat3;Recolonized soil;Mutant;n.a
0;Repeat3;Recolonized soil;Mutant;n.a
0;Repeat3;Recolonized soil;Mutant;n.a
0;Repeat3;Recolonized soil;Mutant;n.a
0;Repeat3;Recolonized soil;Mutant;n.a
0;Repeat3;Recolonized soil;Mutant;n.a
14;Repeat1;Recolonized soil;Mutant;n.a
14;Repeat1;Recolonized soil;Mutant;n.a
14;Repeat1;Recolonized soil;Mutant;n.a
14;Repeat1;Recolonized soil;Mutant;n.a
14;Repeat1;Recolonized soil;Mutant;n.a
14;Repeat1;Recolonized soil;Mutant;n.a
14;Repeat2;Recolonized soil;Mutant;n.a
14;Repeat2;Recolonized soil;Mutant;n.a
14;Repeat2;Recolonized soil;Mutant;n.a
14;Repeat2;Recolonized soil;Mutant;n.a
14;Repeat2;Recolonized soil;Mutant;n.a
14;Repeat2;Recolonized soil;Mutant;n.a
