Orthogroup	Coprinopsis	Rhizophagus	Verticillium
OG0000534	jgi|Copci_AmutBmut1|467907|fgenesh1_pm.3_#_228		
OG0000535	jgi|Copci_AmutBmut1|467831|fgenesh1_pm.3_#_152		
OG0000536	jgi|Copci_AmutBmut1|355295|e_gw1.3.253.1		
OG0000537	jgi|Copci_AmutBmut1|355445|e_gw1.3.427.1		
OG0000538	jgi|Copci_AmutBmut1|152927|CE152926_2680		
OG0000539	jgi|Copci_AmutBmut1|411775|estExt_Genewise1Plus.C_2_t10422		
OG0000540	jgi|Copci_AmutBmut1|99947|CE99946_440		
OG0000541	jgi|Copci_AmutBmut1|484084|estExt_fgenesh1_pg.C_20109		
OG0000542	jgi|Copci_AmutBmut1|441604|fgenesh1_kg.2_#_120_#_Locus5693v1rpkm61.40		
OG0000543	jgi|Copci_AmutBmut1|96267|CE96266_63		
OG0000544	jgi|Copci_AmutBmut1|441489|fgenesh1_kg.2_#_5_#_Locus15893v1rpkm5.66		
OG0000545	jgi|Copci_AmutBmut1|492628|gm1.134_g		
OG0000546	jgi|Copci_AmutBmut1|473654|estExt_fgenesh1_pm.C_10123		
OG0000547	jgi|Copci_AmutBmut1|2482|CE2481_355		
OG0000548	jgi|Copci_AmutBmut1|436813|fgenesh1_kg.1_#_72_#_Locus3147v1rpkm109.30		
OG0000549	jgi|Copci_AmutBmut1|473590|estExt_fgenesh1_pm.C_10052		
OG0000550	jgi|Copci_AmutBmut1|353941|e_gw1.1.211.1		
OG0000551	jgi|Copci_AmutBmut1|493209|gm1.715_g		
OG0000552	jgi|Copci_AmutBmut1|355607|e_gw1.4.426.1		
OG0000553	jgi|Copci_AmutBmut1|493319|gm1.825_g		
OG0000554	jgi|Copci_AmutBmut1|469441|fgenesh1_pm.4_#_172		
OG0000555	jgi|Copci_AmutBmut1|356277|e_gw1.5.192.1		
OG0000556	jgi|Copci_AmutBmut1|356192|e_gw1.5.224.1		
OG0000557	jgi|Copci_AmutBmut1|470505|fgenesh1_pm.5_#_45		
OG0000558	jgi|Copci_AmutBmut1|219841|CE219840_3131		
OG0000559	jgi|Copci_AmutBmut1|529649|MIX25201_7_39		
OG0000560	jgi|Copci_AmutBmut1|356620|e_gw1.6.247.1		
OG0000561	jgi|Copci_AmutBmut1|357208|e_gw1.7.258.1		
OG0000562	jgi|Copci_AmutBmut1|413757|estExt_Genewise1Plus.C_70048		
OG0000563	jgi|Copci_AmutBmut1|449999|fgenesh1_kg.8_#_20_#_Locus1754v1rpkm178.51		
OG0000564	jgi|Copci_AmutBmut1|474838|estExt_fgenesh1_pm.C_80027		
OG0000565	jgi|Copci_AmutBmut1|272519|CE272518_25137		
OG0000566	jgi|Copci_AmutBmut1|473049|fgenesh1_pm.9_#_8		
OG0000567	jgi|Copci_AmutBmut1|357719|e_gw1.9.151.1		
OG0000568	jgi|Copci_AmutBmut1|8225|CE8224_9343		
OG0000569	jgi|Copci_AmutBmut1|388739|estExt_Genewise1.C_100188		
OG0000570	jgi|Copci_AmutBmut1|462286|fgenesh1_pm.11_#_8		
OG0000571	jgi|Copci_AmutBmut1|437603|fgenesh1_kg.11_#_50_#_Locus21431v6rpkm0.04_PRE		
OG0000572	jgi|Copci_AmutBmut1|358476|e_gw1.11.28.1		
OG0000573	jgi|Copci_AmutBmut1|438148|fgenesh1_kg.12_#_109_#_Locus18163v1rpkm2.76		
OG0000574	jgi|Copci_AmutBmut1|38547|CE38546_784		
OG0000575	jgi|Copci_AmutBmut1|39978|CE39977_4466		
OG0000576	jgi|Copci_AmutBmut1|539152|estExt_Genemark1.C_130080		
OG0000577	jgi|Copci_AmutBmut1|359285|e_gw1.14.7.1		
OG0000578	jgi|Copci_AmutBmut1|463463|fgenesh1_pm.14_#_12		
OG0000579	jgi|Copci_AmutBmut1|439109|fgenesh1_kg.14_#_22_#_Locus13106v1rpkm12.29		
OG0000580	jgi|Copci_AmutBmut1|49560|CE49559_340		
OG0000581	jgi|Copci_AmutBmut1|463809|fgenesh1_pm.15_#_8		
OG0000582	jgi|Copci_AmutBmut1|439609|fgenesh1_kg.15_#_84_#_Locus22083v2rpkm0.86		
OG0000583	jgi|Copci_AmutBmut1|464169|fgenesh1_pm.16_#_13		
OG0000584	jgi|Copci_AmutBmut1|494756|gm1.2262_g		
OG0000585	jgi|Copci_AmutBmut1|464503|fgenesh1_pm.17_#_19		
OG0000586	jgi|Copci_AmutBmut1|360267|e_gw1.17.215.1		
OG0000587	jgi|Copci_AmutBmut1|416872|estExt_Genewise1Plus.C_170173		
OG0000588	jgi|Copci_AmutBmut1|440497|fgenesh1_kg.17_#_114_#_Locus6766v2rpkm1.04_PRE		
OG0000589	jgi|Copci_AmutBmut1|416998|estExt_Genewise1Plus.C_180043		
OG0000590	jgi|Copci_AmutBmut1|90982|CE90981_2394		
OG0000591	jgi|Copci_AmutBmut1|441197|fgenesh1_kg.19_#_92_#_Locus10793v1rpkm21.49		
OG0000592	jgi|Copci_AmutBmut1|360925|e_gw1.20.165.1		
OG0000593	jgi|Copci_AmutBmut1|361136|e_gw1.21.152.1		
OG0000594	jgi|Copci_AmutBmut1|361522|e_gw1.22.182.1		
OG0000595	jgi|Copci_AmutBmut1|442447|fgenesh1_kg.22_#_90_#_Locus14168v1rpkm9.29		
OG0000596	jgi|Copci_AmutBmut1|517049|MIX12601_27_42		
OG0000597	jgi|Copci_AmutBmut1|361593|e_gw1.23.159.1		
OG0000598	jgi|Copci_AmutBmut1|442743|fgenesh1_kg.23_#_87_#_Locus5862v5rpkm4.12_PRE		
OG0000599	jgi|Copci_AmutBmut1|540056|estExt_Genemark1.C_230078		
OG0000600	jgi|Copci_AmutBmut1|125864|CE125863_178		
OG0000601	jgi|Copci_AmutBmut1|443271|fgenesh1_kg.25_#_24_#_Locus27548v3rpkm0.00_PRE		
OG0000602	jgi|Copci_AmutBmut1|443589|fgenesh1_kg.26_#_82_#_Locus7262v1rpkm44.81		
OG0000603	jgi|Copci_AmutBmut1|392677|estExt_Genewise1.C_270066		
OG0000604	jgi|Copci_AmutBmut1|362515|e_gw1.27.101.1		
OG0000605	jgi|Copci_AmutBmut1|141976|CE141975_269		
OG0000606	jgi|Copci_AmutBmut1|476698|estExt_fgenesh1_pm.C_270065		
OG0000607	jgi|Copci_AmutBmut1|455828|fgenesh1_pg.27_#_58		
OG0000608	jgi|Copci_AmutBmut1|495744|gm1.3250_g		
OG0000609	jgi|Copci_AmutBmut1|444002|fgenesh1_kg.28_#_18_#_Locus5714v1rpkm61.07		
OG0000610	jgi|Copci_AmutBmut1|392894|estExt_Genewise1.C_280137		
OG0000611	jgi|Copci_AmutBmut1|145651|CE145650_2052		
OG0000612	jgi|Copci_AmutBmut1|495912|gm1.3418_g		
OG0000613	jgi|Copci_AmutBmut1|495950|gm1.3456_g		
OG0000614	jgi|Copci_AmutBmut1|495977|gm1.3483_g		
OG0000615	jgi|Copci_AmutBmut1|468394|fgenesh1_pm.33_#_7		
OG0000616	jgi|Copci_AmutBmut1|177857|CE177856_1867		
OG0000617	jgi|Copci_AmutBmut1|445635|fgenesh1_kg.35_#_19_#_Locus2147v1rpkm150.86		
OG0000618	jgi|Copci_AmutBmut1|477144|estExt_fgenesh1_pm.C_350024		
OG0000619	jgi|Copci_AmutBmut1|468708|fgenesh1_pm.35_#_51		
OG0000620	jgi|Copci_AmutBmut1|363853|e_gw1.36.121.1		
OG0000621	jgi|Copci_AmutBmut1|182728|CE182727_99		
OG0000622	jgi|Copci_AmutBmut1|186672|CE186671_1822		
OG0000623	jgi|Copci_AmutBmut1|469081|fgenesh1_pm.38_#_26		
OG0000624	jgi|Copci_AmutBmut1|364310|e_gw1.39.135.1		
OG0000625	jgi|Copci_AmutBmut1|188631|CE188630_2111		
OG0000626	jgi|Copci_AmutBmut1|364348|e_gw1.39.105.1		
OG0000627	jgi|Copci_AmutBmut1|496475|gm1.3981_g		
OG0000628	jgi|Copci_AmutBmut1|496557|gm1.4063_g		
OG0000629	jgi|Copci_AmutBmut1|364755|e_gw1.42.116.1		
OG0000630	jgi|Copci_AmutBmut1|421013|estExt_Genewise1Plus.C_430063		
OG0000631	jgi|Copci_AmutBmut1|541226|estExt_Genemark1.C_450022		
OG0000632	jgi|Copci_AmutBmut1|206624|CE206623_2421		
OG0000633	jgi|Copci_AmutBmut1|421305|estExt_Genewise1Plus.C_460033		
OG0000634	jgi|Copci_AmutBmut1|365412|e_gw1.48.68.1		
OG0000635	jgi|Copci_AmutBmut1|470415|fgenesh1_pm.49_#_49		
OG0000636	jgi|Copci_AmutBmut1|365827|e_gw1.50.83.1		
OG0000637	jgi|Copci_AmutBmut1|447901|fgenesh1_kg.51_#_18_#_Locus5922v4rpkm0.00_PRE		
OG0000638	jgi|Copci_AmutBmut1|477965|estExt_fgenesh1_pm.C_520007		
OG0000639	jgi|Copci_AmutBmut1|541640|estExt_Genemark1.C_540033		
OG0000640	jgi|Copci_AmutBmut1|541641|estExt_Genemark1.C_540034		
OG0000641	jgi|Copci_AmutBmut1|497277|gm1.4783_g		
OG0000642	jgi|Copci_AmutBmut1|448480|fgenesh1_kg.59_#_31_#_Locus786v1rpkm329.85		
OG0000643	jgi|Copci_AmutBmut1|240448|CE240447_1058		
OG0000644	jgi|Copci_AmutBmut1|241938|CE241937_18630		
OG0000645	jgi|Copci_AmutBmut1|397077|estExt_Genewise1.C_620092		
OG0000646	jgi|Copci_AmutBmut1|367334|e_gw1.64.104.1		
OG0000647	jgi|Copci_AmutBmut1|247114|CE247113_7211		
OG0000648	jgi|Copci_AmutBmut1|471828|fgenesh1_pm.67_#_3		
OG0000649	jgi|Copci_AmutBmut1|449135|fgenesh1_kg.67_#_16_#_Locus13864v1rpkm10.17		
OG0000650	jgi|Copci_AmutBmut1|497730|gm1.5236_g		
OG0000651	jgi|Copci_AmutBmut1|449239|fgenesh1_kg.69_#_2_#_Locus5140v1rpkm68.82		
OG0000652	jgi|Copci_AmutBmut1|478752|estExt_fgenesh1_pm.C_700037		
OG0000653	jgi|Copci_AmutBmut1|368190|e_gw1.71.99.1		
OG0000654	jgi|Copci_AmutBmut1|497993|gm1.5499_g		
OG0000655	jgi|Copci_AmutBmut1|498051|gm1.5557_g		
OG0000656	jgi|Copci_AmutBmut1|488143|estExt_fgenesh1_pg.C_760002		
OG0000657	jgi|Copci_AmutBmut1|424505|estExt_Genewise1Plus.C_760014		
OG0000658	jgi|Copci_AmutBmut1|424513|estExt_Genewise1Plus.C_760022		
OG0000659	jgi|Copci_AmutBmut1|263491|CE263490_72		
OG0000660	jgi|Copci_AmutBmut1|498161|gm1.5667_g		
OG0000661	jgi|Copci_AmutBmut1|368981|e_gw1.79.77.1		
OG0000662	jgi|Copci_AmutBmut1|368921|e_gw1.79.25.1		
OG0000663	jgi|Copci_AmutBmut1|267777|CE267776_1812		
OG0000664	jgi|Copci_AmutBmut1|488280|estExt_fgenesh1_pg.C_800019		
OG0000665	jgi|Copci_AmutBmut1|424923|estExt_Genewise1Plus.C_800100		
OG0000666	jgi|Copci_AmutBmut1|498265|gm1.5771_g		
OG0000667	jgi|Copci_AmutBmut1|472823|fgenesh1_pm.83_#_13		
OG0000668	jgi|Copci_AmutBmut1|369424|e_gw1.84.5.1		
OG0000669	jgi|Copci_AmutBmut1|276784|CE276783_2938		
OG0000670	jgi|Copci_AmutBmut1|488422|estExt_fgenesh1_pg.C_850017		
OG0000671	jgi|Copci_AmutBmut1|277380|CE277379_2439		
OG0000672	jgi|Copci_AmutBmut1|369533|e_gw1.85.84.1		
OG0000673	jgi|Copci_AmutBmut1|479351|estExt_fgenesh1_pm.C_880022		
OG0000674	jgi|Copci_AmutBmut1|425508|estExt_Genewise1Plus.C_880071		
OG0000675	jgi|Copci_AmutBmut1|473021|fgenesh1_pm.89_#_6		
OG0000676	jgi|Copci_AmutBmut1|450587|fgenesh1_kg.89_#_29_#_Locus9959v1rpkm26.15		
OG0000677	jgi|Copci_AmutBmut1|534198|MIX29750_8_27		
OG0000678	jgi|Copci_AmutBmut1|450739|fgenesh1_kg.90_#_1_#_Locus5092v2rpkm58.23		
OG0000679	jgi|Copci_AmutBmut1|425614|estExt_Genewise1Plus.C_900048		
OG0000680	jgi|Copci_AmutBmut1|286180|CE286179_1508		
OG0000681	jgi|Copci_AmutBmut1|287631|CE287630_11663		
OG0000682	jgi|Copci_AmutBmut1|288549|CE288548_60		
OG0000683	jgi|Copci_AmutBmut1|498691|gm1.6197_g		
OG0000684	jgi|Copci_AmutBmut1|498790|gm1.6296_g		
OG0000685	jgi|Copci_AmutBmut1|473451|fgenesh1_pm.97_#_13		
OG0000686	jgi|Copci_AmutBmut1|498799|gm1.6305_g		
OG0000687	jgi|Copci_AmutBmut1|543210|estExt_Genemark1.C_990013		
OG0000688	jgi|Copci_AmutBmut1|451143|fgenesh1_kg.99_#_19_#_Locus26524v2rpkm0.27		
OG0000689	jgi|Copci_AmutBmut1|370630|e_gw1.99.77.1		
OG0000690	jgi|Copci_AmutBmut1|400279|estExt_Genewise1.C_1000009		
OG0000691	jgi|Copci_AmutBmut1|451456|fgenesh1_pg.100_#_17		
OG0000692	jgi|Copci_AmutBmut1|437207|fgenesh1_kg.101_#_14_#_Locus30563v2rpkm0.00_PRE		
OG0000693	jgi|Copci_AmutBmut1|370851|e_gw1.101.56.1		
OG0000694	jgi|Copci_AmutBmut1|543294|estExt_Genemark1.C_1020023		
OG0000695	jgi|Copci_AmutBmut1|543298|estExt_Genemark1.C_1020027		
OG0000696	jgi|Copci_AmutBmut1|498986|gm1.6492_g		
OG0000697	jgi|Copci_AmutBmut1|371036|e_gw1.104.37.1		
OG0000698	jgi|Copci_AmutBmut1|371176|e_gw1.106.56.1		
OG0000699	jgi|Copci_AmutBmut1|371178|e_gw1.106.36.1		
OG0000700	jgi|Copci_AmutBmut1|437399|fgenesh1_kg.106_#_17_#_Locus19522v5rpkm0.00_PRE		
OG0000701	jgi|Copci_AmutBmut1|489010|estExt_fgenesh1_pg.C_1090007		
OG0000702	jgi|Copci_AmutBmut1|371412|e_gw1.109.23.1		
OG0000703	jgi|Copci_AmutBmut1|499157|gm1.6663_g		
OG0000704	jgi|Copci_AmutBmut1|479963|estExt_fgenesh1_pm.C_1090031		
OG0000705	jgi|Copci_AmutBmut1|427075|estExt_Genewise1Plus.C_1100062		
OG0000706	jgi|Copci_AmutBmut1|451850|fgenesh1_pg.112_#_2		
OG0000707	jgi|Copci_AmutBmut1|371743|e_gw1.113.29.1		
OG0000708	jgi|Copci_AmutBmut1|452003|fgenesh1_pg.118_#_19		
OG0000709	jgi|Copci_AmutBmut1|462661|fgenesh1_pm.118_#_25		
OG0000710	jgi|Copci_AmutBmut1|462685|fgenesh1_pm.119_#_21		
OG0000711	jgi|Copci_AmutBmut1|372107|e_gw1.119.37.1		
OG0000712	jgi|Copci_AmutBmut1|499456|gm1.6962_g		
OG0000713	jgi|Copci_AmutBmut1|489299|estExt_fgenesh1_pg.C_1220014		
OG0000714	jgi|Copci_AmutBmut1|427866|estExt_Genewise1Plus.C_1220043		
OG0000715	jgi|Copci_AmutBmut1|499652|gm1.7158_g		
OG0000716	jgi|Copci_AmutBmut1|41230|CE41229_1260		
OG0000717	jgi|Copci_AmutBmut1|499720|gm1.7226_g		
OG0000718	jgi|Copci_AmutBmut1|372875|e_gw1.130.58.1		
OG0000719	jgi|Copci_AmutBmut1|452466|fgenesh1_pg.130_#_10		
OG0000720	jgi|Copci_AmutBmut1|438833|fgenesh1_kg.133_#_9_#_Locus17991v1rpkm2.89		
OG0000721	jgi|Copci_AmutBmut1|480560|estExt_fgenesh1_pm.C_1330007		
OG0000722	jgi|Copci_AmutBmut1|463313|fgenesh1_pm.134_#_21		
OG0000723	jgi|Copci_AmutBmut1|544122|estExt_Genemark1.C_1340029		
OG0000724	jgi|Copci_AmutBmut1|463325|fgenesh1_pm.135_#_1		
OG0000725	jgi|Copci_AmutBmut1|438924|fgenesh1_kg.135_#_11_#_Locus14541v2rpkm1.25		
OG0000726	jgi|Copci_AmutBmut1|439071|fgenesh1_kg.139_#_24_#_Locus3996v2rpkm20.57		
OG0000727	jgi|Copci_AmutBmut1|439073|fgenesh1_kg.139_#_26_#_Locus3996v1rpkm87.53		
OG0000728	jgi|Copci_AmutBmut1|439086|fgenesh1_kg.139_#_39_#_Locus15098v2rpkm1.88		
OG0000729	jgi|Copci_AmutBmut1|373511|e_gw1.140.54.1		
OG0000730	jgi|Copci_AmutBmut1|51690|CE51689_475		
OG0000731	jgi|Copci_AmutBmut1|429056|estExt_Genewise1Plus.C_1420043		
OG0000732	jgi|Copci_AmutBmut1|373659|e_gw1.143.52.1		
OG0000733	jgi|Copci_AmutBmut1|510090|MIX5642_77_18		
