,Gene ID bis,pLDDT,Probability of antimicrobial activity,Prediction,isCAZyme,isTM,rank
OG0000004,jgi|Colhig2|10128,84.9853685168335,0.0190775380812781,Non-antimicrobial,1,0,1
OG0000013,jgi|Phisc1|634549,91.41586833144154,0.2763949172540419,Non-antimicrobial,0,0,2
OG0000002,jgi|Zymtr1|51289,42.242113475177305,0.2532495264726598,Non-antimicrobial,0,0,3
OG0000007,jgi|Rhier1|359102,87.51149056072134,0.9991415755698032,Antimicrobial,0,0,4
OG0000144,jgi|Trire2|33895,88.02276404494381,0.3176865250009455,Non-antimicrobial,0,0,5
OG0000215,jgi|Phisc1|655323,89.09688593056643,0.9104842249214044,Antimicrobial,0,0,6
OG0000073,jgi|Chalo1|302900,67.37739591218774,0.8195864755227941,Antimicrobial,0,0,7
OG0000019,jgi|Tubma1|19470,41.71029850746268,0.0354776300965118,Non-antimicrobial,0,0,8
OG0000192,jgi|Phisc1|572892,76.4396801266825,0.0001708958498926,Non-antimicrobial,0,1,9
OG0000023,jgi|Trire2|65406,78.73458773784355,0.9829658590326946,Antimicrobial,1,0,10
OG0000074,jgi|Chalo1|452277,92.06511559272012,0.7943948863316741,Antimicrobial,0,0,11
OG0000135,jgi|Cadsp1|518615,84.76055544084245,0.2805419038196316,Non-antimicrobial,1,0,12
OG0000208,jgi|Rhesp1|463144,71.70722478576137,0.9379902639257048,Antimicrobial,0,1,13
OG0000210,jgi|Cadsp1|417943,81.90588865979382,0.7912839868401376,Antimicrobial,0,1,14
OG0000195,jgi|Rhier1|679008,88.64028340080971,0.977542062053071,Antimicrobial,0,0,15
OG0000213,jgi|Colto1|8518,84.54094032023289,0.958089096622143,Antimicrobial,0,0,16
OG0000010,jgi|Tubma1|360125,89.74655247417074,0.8161201089668706,Antimicrobial,1,0,17
OG0000158,jgi|Colch1|4576,91.8563435281267,0.9964160150919624,Antimicrobial,0,0,18
OG0000214,jgi|Rhier1|623972,76.95019468186135,0.991649649794132,Antimicrobial,0,0,19
OG0000205,jgi|Thite2|2107700,90.40705324580598,0.8840494123696198,Antimicrobial,0,0,20
OG0000000,jgi|Pilcr1|823739,55.75031390134529,0.0003185246473806,Non-antimicrobial,0,0,21
OG0000034,jgi|Pyrly1|416899,85.0744401168452,0.6678769676863567,Antimicrobial,0,0,22
OG0000225,jgi|Lepor2|625331,90.3378626977742,0.2591523210892054,Non-antimicrobial,0,1,23
OG0000178,jgi|Triat2|298376,86.01214820982514,0.0817604844202895,Non-antimicrobial,0,0,24
OG0000061,jgi|Pensub1|11350,86.17796722990272,0.998145600565771,Antimicrobial,0,0,25
OG0000231,jgi|Chalo1|495317,81.16348596750369,0.1484016160414201,Non-antimicrobial,0,1,26
OG0000057,jgi|Cadsp1|513012,85.04941114982579,0.0828922353813725,Non-antimicrobial,0,0,27
OG0000054,jgi|Phisc1|583268,75.99710535588443,0.8286102705958969,Antimicrobial,0,1,28
OG0000235,jgi|Chalo1|420412,85.30638370118845,0.9855155793122344,Antimicrobial,0,1,29
OG0000220,jgi|Zalva1|512544,82.52982774418179,0.9965651017514467,Antimicrobial,0,1,30
OG0000190,jgi|Denna1|435030,82.39910317460317,0.0322727931970605,Non-antimicrobial,1,0,31
OG0000003,jgi|Pensub1|2292,49.262175000000006,0.0704974366582231,Non-antimicrobial,0,0,32
OG0000046,jgi|Daces1|614904,88.20946355446355,0.1568807330335157,Non-antimicrobial,0,0,33
OG0000152,jgi|Cenge3|660091,83.5882548794489,0.995836210330298,Antimicrobial,1,0,34
OG0000043,jgi|Hetan2|248158,56.011418181818186,0.0089933044157084,Non-antimicrobial,0,0,35
OG0000052,jgi|Cylol1|108685,87.52870264474625,0.991634130492465,Antimicrobial,1,0,36
OG0000230,jgi|Rhesp1|550016,72.34034193548386,0.8122149675854089,Antimicrobial,0,1,37
OG0000024,jgi|Melva1|568969,92.57727191413238,0.9998993750716028,Antimicrobial,1,0,38
OG0000077,jgi|Cadsp1|426512,84.39314999999999,0.9998576763692076,Antimicrobial,1,0,39
OG0000015,jgi|Cylol1|525986,85.13959502458778,0.9999900417177272,Antimicrobial,1,0,40
OG0000237,jgi|Melva1|549983,84.59171018945213,0.8558825036639667,Antimicrobial,0,1,41
OG0000020,jgi|Phisc1|549415,78.62787913340937,0.9316682153357224,Antimicrobial,0,0,42
OG0000012,jgi|Tulca1|66675,89.65586167800454,0.254433621767793,Non-antimicrobial,0,0,43
OG0000102,jgi|Neora1|565336,74.60326105087573,0.7038795406054654,Antimicrobial,0,0,44
OG0000202,jgi|Rhesp1|266407,87.62418363107604,0.9349037199669706,Antimicrobial,0,1,45
OG0000014,jgi|Colto1|5086,76.76410531528556,0.9966926177629158,Antimicrobial,1,0,46
OG0000141,jgi|Morel2|576036,30.43289111854329,0.9558459167187432,Antimicrobial,0,0,47
OG0000248,jgi|Melbi2|594272,81.87542984979227,0.9925514015151936,Antimicrobial,0,0,48
OG0000252,jgi|Chalo1|452150,78.60178150217257,0.983876448357164,Antimicrobial,0,1,49
OG0000247,jgi|Macpha1|655330,72.06988598256204,0.9950254813504472,Antimicrobial,0,1,50
OG0000142,jgi|Phisc1|756530,77.95858010410643,0.0309911392029835,Non-antimicrobial,0,1,51
OG0000251,jgi|Chalo1|359171,76.82153533987149,0.8879131842075381,Antimicrobial,0,1,52
OG0000229,jgi|Ascsa1|9005,71.1973550505487,0.0,Non-antimicrobial,1,0,53
OG0000079,jgi|Truan1|637922,90.65976982097186,0.7142222260465929,Antimicrobial,0,0,54
OG0000009,jgi|Perma1|619939,88.63,0.9892128069113336,Antimicrobial,1,0,55
OG0000044,jgi|Botbo1|236799,87.09848021582735,0.6647278203117808,Antimicrobial,0,0,56
OG0000250,jgi|Phisc1|615570,81.31995196156925,0.0026216855884554,Non-antimicrobial,1,0,57
OG0000239,jgi|Melva1|641112,79.10074389424155,0.2285505179304309,Non-antimicrobial,0,1,58
OG0000256,jgi|Lepor2|635787,83.11958431808702,0.879201317862643,Antimicrobial,0,1,59
OG0000257,jgi|Dacma1|638943,81.25138728323698,0.121711171218119,Non-antimicrobial,0,1,60
OG0000037,jgi|Corca1|598228,90.44011315417256,0.5520064668236673,Antimicrobial,1,0,61
OG0000011,jgi|Stano2|1508,50.18702786377709,0.996752358146364,Antimicrobial,0,0,62
OG0000064,jgi|Sclsc1|13993,81.71302033492822,0.9950688417529794,Antimicrobial,0,0,63
OG0000245,jgi|Cadsp1|510522,83.2399917287014,0.9532384251183168,Antimicrobial,0,1,64
OG0000001,jgi|Morco1|529761,87.29445083014048,0.936657793563847,Antimicrobial,1,0,65
OG0000030,jgi|Aspnov1|372610,90.8208041799182,0.8281605601223112,Antimicrobial,1,0,66
OG0000022,jgi|Olipa1|667636,47.628755458515286,1.5490624210346022e-05,Non-antimicrobial,0,0,67
OG0000081,nan,61.37734856007944,0.1732339452666272,Non-antimicrobial,0,0,68
OG0000232,jgi|Rhier1|597780,68.78065317387303,0.184851960305957,Non-antimicrobial,0,0,69
OG0000179,jgi|Colch1|3608,70.7997989143844,0.9992530282865716,Antimicrobial,0,1,70
OG0000101,jgi|Phimu1|652061,82.74620262390671,0.9845475641491112,Antimicrobial,1,0,71
OG0000264,jgi|Chalo1|428263,62.20298803929945,0.003911513356271,Non-antimicrobial,0,0,72
OG0000262,jgi|Colto1|2464,82.66385477582847,0.0097161105340138,Non-antimicrobial,0,1,73
OG0000266,jgi|Corca1|574108,84.49905045689313,0.0138054065317841,Non-antimicrobial,0,1,74
OG0000039,jgi|Chalo1|326170,80.69860844870429,0.9726182238508668,Antimicrobial,1,0,75
OG0000018,jgi|Trave1|147958,82.55976388888888,0.9950759490351754,Antimicrobial,0,0,76
OG0000006,jgi|Neodi1|9021,89.32036347318824,0.6238093560949857,Antimicrobial,1,0,77
OG0000259,jgi|Altro1|398971,85.41606873822975,0.0001933281886355,Non-antimicrobial,0,1,78
OG0000120,jgi|Phisc1|692244,92.57654919236418,0.9983601769950168,Antimicrobial,0,0,79
OG0000153,jgi|Cenge3|657914,88.48626861771623,0.9779494247111926,Antimicrobial,1,0,80
OG0000017,jgi|Phimu1|691778,83.35076736672052,0.8204750501021036,Antimicrobial,0,0,81
OG0000180,jgi|Chalo1|430818,79.35412338350648,0.5294454953190226,Antimicrobial,0,0,82
OG0000008,jgi|Oidma1|116903,85.26320436158986,0.9006075788213193,Antimicrobial,0,0,83
OG0000053,jgi|Mictri1|252034,90.347704970949,0.0876102659067755,Non-antimicrobial,0,0,84
OG0000184,jgi|Melbi2|409393,73.21276356723124,0.999995957548052,Antimicrobial,0,1,85
OG0000005,jgi|Melbi2|599716,86.08605906560155,0.9552661650207294,Antimicrobial,1,0,86
OG0000185,jgi|Lepor2|594747,90.08351145038168,0.1186304517161532,Non-antimicrobial,0,0,87
OG0000136,jgi|Cenge3|557611,89.89885232526515,0.955332548043566,Antimicrobial,1,0,88
OG0000287,jgi|Thite2|2107548,80.78685860382393,0.3274461474660959,Non-antimicrobial,0,0,89
OG0000032,jgi|Spoth2|2309623,52.05930635838149,0.1841132746985765,Non-antimicrobial,0,0,90
OG0000050,jgi|Gigmar1|5678,84.61260814249363,0.0546782744444975,Non-antimicrobial,1,0,91
OG0000277,jgi|Ilyeu1|587815,70.58058551617874,0.977109575729076,Antimicrobial,0,1,92
OG0000291,jgi|Melva1|551034,85.59880707527766,0.0237829293439302,Non-antimicrobial,0,0,93
OG0000275,jgi|Parchr1|236094,84.89315376382447,0.0398711419339042,Non-antimicrobial,0,1,94
OG0000058,jgi|PleosPC15|1,91.0634070940449,0.7541572741115841,Antimicrobial,1,0,95
OG0000100,jgi|Chafu1|348488,68.55947100063734,0.8049513522553468,Antimicrobial,0,0,96
OG0000059,jgi|Truan1|635580,89.12401877133107,0.9391494040366984,Antimicrobial,1,0,97
OG0000281,jgi|Verdah1|426502,77.27649193548386,0.9304235811472604,Antimicrobial,0,1,98
OG0000113,jgi|Lepor2|585588,82.08556636726547,0.3414459544330295,Non-antimicrobial,1,0,99
OG0000294,jgi|Spoth2|2300011,54.681700507614224,0.4462990501143958,Non-antimicrobial,0,0,100
OG0000035,jgi|Corca1|51675,76.16585599999999,0.9983409543631724,Antimicrobial,1,0,101
OG0000029,jgi|Corca1|206915,75.7852014995314,0.9999622077081328,Antimicrobial,1,0,102
OG0000080,jgi|Phisc1|770268,78.11656758272576,0.7518753918379371,Antimicrobial,0,0,103
OG0000085,jgi|Rhesp1|391023,82.93273391304348,0.453164581526178,Non-antimicrobial,0,0,104
OG0000075,jgi|Zalva1|470974,92.6481755050505,0.9804834279724778,Antimicrobial,1,0,105
OG0000128,jgi|Dacma1|872912,90.04954666666667,0.9937857518034324,Antimicrobial,0,0,106
OG0000240,jgi|Chame1|113122,73.21008403361344,0.9960651279791743,Antimicrobial,0,0,107
OG0000284,jgi|Rhesp1|421808,82.24082318353632,0.5403563523392333,Antimicrobial,0,1,108
OG0000063,jgi|DalEC12|1,45.04461309523809,0.0616485521913888,Non-antimicrobial,0,0,109
OG0000082,jgi|Armost1|303014,78.17447990181037,0.1215024800765216,Non-antimicrobial,1,0,110
OG0000031,jgi|Stael1|355318,85.41966748768472,0.6694375558144527,Antimicrobial,1,0,111
OG0000224,jgi|Fusso1|383950,58.13532463330457,0.0,Non-antimicrobial,0,1,112
OG0000112,jgi|Colch1|10095,80.50029715579456,0.991346718395578,Antimicrobial,1,0,113
OG0000177,jgi|Corca1|639680,86.52536526533426,0.8410130760285371,Antimicrobial,0,0,114
OG0000297,jgi|Colto1|6775,81.51846245530392,0.1184203485809915,Non-antimicrobial,0,1,115
OG0000125,jgi|Cylol1|77543,89.51259444444443,0.9960403533047508,Antimicrobial,0,0,116
OG0000122,jgi|Cocvi1|102572,71.90636101083032,0.9578452580604832,Antimicrobial,0,0,117
OG0000131,jgi|Colto1|11241,91.47613849765258,0.9615391970404829,Antimicrobial,0,0,118
OG0000047,jgi|Fusso1|450420,76.28482432942955,0.9456076715151558,Antimicrobial,0,0,119
OG0000027,jgi|Phimu1|122301,92.95248756218903,0.7890698882109729,Antimicrobial,1,0,120
OG0000028,jgi|Chagl1|155655,86.47254010278773,0.991866616690554,Antimicrobial,0,0,121
OG0000065,jgi|Thite2|124883,87.95565627563577,0.8195197370574906,Antimicrobial,1,0,122
OG0000307,jgi|DalEC12|1,62.219709187045616,0.319541372859159,Non-antimicrobial,0,0,123
OG0000067,jgi|Ascsa1|6440,89.7999957392416,0.9985745061484156,Antimicrobial,1,0,124
OG0000293,jgi|Fustr1|467948,71.36321013222877,0.0,Non-antimicrobial,1,0,125
OG0000070,jgi|Colhig2|6475,92.5844695481336,0.8896173426507648,Antimicrobial,1,0,126
OG0000078,jgi|Colch1|5074,86.2472808468409,0.8454942153886345,Antimicrobial,1,0,127
OG0000304,jgi|Micbo1|159535,49.30813278008299,0.2917664529958466,Non-antimicrobial,0,0,128
OG0000170,jgi|Colch1|914,82.69032094251473,0.9795498446685628,Antimicrobial,1,0,129
OG0000033,jgi|Neora1|768725,82.4554680438993,0.993120778015539,Antimicrobial,1,0,130
OG0000134,jgi|Boeex1|459484,56.03325936199722,0.106291189108583,Non-antimicrobial,0,0,131
OG0000089,jgi|Pyrsp1|589504,93.09108846487425,0.9112900628479054,Antimicrobial,1,0,132
OG0000036,jgi|Neora1|892215,84.05679255511384,0.9995771346324456,Antimicrobial,1,0,133
OG0000168,jgi|Pyrly1|445229,85.82990511455682,0.9992563864065894,Antimicrobial,1,0,134
OG0000021,jgi|Lepmu1|6835,53.54328877005348,0.0140266938625487,Non-antimicrobial,0,0,135
OG0000309,jgi|Neora1|637030,74.48683353971342,0.0009512540982441,Non-antimicrobial,1,0,136
OG0000306,jgi|Zalva1|321045,68.8714657980456,0.9340415211948818,Antimicrobial,0,1,137
OG0000118,jgi|Rhier1|626829,66.27185660377359,0.885760247116289,Antimicrobial,0,0,138
OG0000094,jgi|Melva1|593638,86.53587025316456,0.7105656142864143,Antimicrobial,0,0,139
OG0000198,jgi|TriviGv29|8,87.36862438220757,0.9731912262151304,Antimicrobial,0,0,140
OG0000234,jgi|Fuseq1|94673,47.518274320241694,0.0,Non-antimicrobial,0,1,141
OG0000086,jgi|Chalo1|370165,83.81090733590733,0.9855788142106638,Antimicrobial,1,0,142
