#name	length
jgi|Agabi_varbur_1|123712|Genemark.48_g	235
jgi|Agabi_varbur_1|65937|estExt_Genewise1Plus.C_10128	832
jgi|Agabi_varbur_1|110069|estExt_fgenesh1_kg.C_10063	185
jgi|Agabi_varbur_1|123753|Genemark.89_g	133
jgi|Agabi_varbur_1|103656|estExt_fgenesh1_pg.C_10087	389
jgi|Agabi_varbur_1|66074|estExt_Genewise1Plus.C_10266	368
jgi|Agabi_varbur_1|66131|estExt_Genewise1Plus.C_10323	361
jgi|Agabi_varbur_1|88475|fgenesh1_pg.1_#_124	111
jgi|Agabi_varbur_1|110157|estExt_fgenesh1_kg.C_10152	158
jgi|Agabi_varbur_1|103710|estExt_fgenesh1_pg.C_10142	536
jgi|Agabi_varbur_1|110196|estExt_fgenesh1_kg.C_10191	330
jgi|Agabi_varbur_1|66288|estExt_Genewise1Plus.C_10480	1152
jgi|Agabi_varbur_1|110256|estExt_fgenesh1_kg.C_10252	541
jgi|Agabi_varbur_1|96597|fgenesh1_pm.1_#_257	449
jgi|Agabi_varbur_1|117116|estExt_fgenesh1_pm.C_10255	506
jgi|Agabi_varbur_1|123982|Genemark.318_g	417
jgi|Agabi_varbur_1|51014|estExt_Genewise1.C_10706	286
jgi|Agabi_varbur_1|51017|estExt_Genewise1.C_10709	281
jgi|Agabi_varbur_1|124009|Genemark.345_g	385
jgi|Agabi_varbur_1|51133|estExt_Genewise1.C_10831	805
jgi|Agabi_varbur_1|66634|estExt_Genewise1Plus.C_10833	347
jgi|Agabi_varbur_1|66637|estExt_Genewise1Plus.C_10836	185
jgi|Agabi_varbur_1|110389|estExt_fgenesh1_kg.C_10387	351
jgi|Agabi_varbur_1|124156|Genemark.492_g	275
jgi|Agabi_varbur_1|124182|Genemark.518_g	137
jgi|Agabi_varbur_1|124185|Genemark.521_g	349
jgi|Agabi_varbur_1|51399|estExt_Genewise1.C_11098	169
jgi|Agabi_varbur_1|110477|estExt_fgenesh1_kg.C_10479	210
jgi|Agabi_varbur_1|31755|e_gw1.1.1974.1	385
jgi|Agabi_varbur_1|110574|estExt_fgenesh1_kg.C_10578	329
jgi|Agabi_varbur_1|110607|estExt_fgenesh1_kg.C_10612	835
jgi|Agabi_varbur_1|32412|e_gw1.1.314.1	395
jgi|Agabi_varbur_1|51741|estExt_Genewise1.C_11442	398
jgi|Agabi_varbur_1|110649|estExt_fgenesh1_kg.C_10655	399
jgi|Agabi_varbur_1|124383|Genemark.719_g	204
jgi|Agabi_varbur_1|67318|estExt_Genewise1Plus.C_11520	240
jgi|Agabi_varbur_1|25941|gw1.1.1583.1	96
jgi|Agabi_varbur_1|51918|estExt_Genewise1.C_11633	286
jgi|Agabi_varbur_1|32445|e_gw1.1.385.1	343
jgi|Agabi_varbur_1|110753|estExt_fgenesh1_kg.C_10760	108
jgi|Agabi_varbur_1|104147|estExt_fgenesh1_pg.C_10583	1317
jgi|Agabi_varbur_1|110764|estExt_fgenesh1_kg.C_10771	375
jgi|Agabi_varbur_1|110783|estExt_fgenesh1_kg.C_10790	365
jgi|Agabi_varbur_1|110784|estExt_fgenesh1_kg.C_10791	289
jgi|Agabi_varbur_1|21964|gw1.1.1084.1	410
jgi|Agabi_varbur_1|67601|estExt_Genewise1Plus.C_11822	884
jgi|Agabi_varbur_1|110834|estExt_fgenesh1_kg.C_10842	181
jgi|Agabi_varbur_1|104217|estExt_fgenesh1_pg.C_10656	272
jgi|Agabi_varbur_1|110839|estExt_fgenesh1_kg.C_10847	285
jgi|Agabi_varbur_1|31604|e_gw1.1.184.1	546
jgi|Agabi_varbur_1|110844|estExt_fgenesh1_kg.C_10853	159
jgi|Agabi_varbur_1|67708|estExt_Genewise1Plus.C_11935	392
jgi|Agabi_varbur_1|110876|estExt_fgenesh1_kg.C_10886	198
jgi|Agabi_varbur_1|110891|estExt_fgenesh1_kg.C_10901	466
jgi|Agabi_varbur_1|110900|estExt_fgenesh1_kg.C_10910	55
jgi|Agabi_varbur_1|110901|estExt_fgenesh1_kg.C_10911	55
jgi|Agabi_varbur_1|110902|estExt_fgenesh1_kg.C_10913	35
jgi|Agabi_varbur_1|124708|Genemark.1044_g	85
jgi|Agabi_varbur_1|110930|estExt_fgenesh1_kg.C_10941	86
jgi|Agabi_varbur_1|67808|estExt_Genewise1Plus.C_12040	283
jgi|Agabi_varbur_1|110999|estExt_fgenesh1_kg.C_20049	173
jgi|Agabi_varbur_1|111001|estExt_fgenesh1_kg.C_20052	173
