Orthogroup,shannon
OG0000013,11.22
OG0000002,11.73
OG0000007,11.93
OG0000144,9.59
OG0000215,10.3
OG0000073,10.11
OG0000019,10.95
OG0000074,10.85
OG0000195,9.62
OG0000213,10.2
OG0000158,10.3
OG0000214,10.5
OG0000205,8.41
OG0000000,11.92
OG0000034,11.38
OG0000178,9.84
OG0000061,11.58
OG0000057,10.98
OG0000003,11.84
OG0000046,11.1
OG0000043,11.17
OG0000020,11.67
OG0000012,11.04
OG0000102,9.57
OG0000141,11.03
OG0000248,9.76
OG0000079,10.46
OG0000044,10.84
OG0000011,10.46
OG0000064,11.52
OG0000022,11.39
OG0000081,11.12
OG0000232,10.71
OG0000264,10.29
OG0000018,11.71
OG0000120,10.52
OG0000017,11.51
OG0000180,11.02
OG0000008,11.66
OG0000053,11.3
OG0000185,10.21
OG0000287,10.8
OG0000032,11.83
OG0000291,9.39
OG0000100,9.78
OG0000294,7.47
OG0000080,10.2
OG0000085,10.28
OG0000128,8.41
OG0000240,10.32
OG0000063,11.51
OG0000177,10.16
OG0000125,10.28
OG0000122,10.37
OG0000131,8.61
OG0000047,10.97
OG0000028,11.73
OG0000307,8.79
OG0000304,11.01
OG0000134,9.68
OG0000021,11.46
OG0000118,9.55
OG0000094,10.4
OG0000198,9.44
OG0000114,11.01
OG0000258,8.34
OG0000133,11.09
OG0000308,10.87
OG0000298,9.66
OG0000282,8.4
OG0000290,9.79
OG0000090,11.01
OG0000324,9.38
OG0000156,9.47
OG0000117,10.28
OG0000148,10.74
OG0000049,11.08
OG0000048,11.72
OG0000335,8.79
OG0000056,10.88
OG0000076,9.71
OG0000042,11.61
OG0000346,7.38
OG0000348,10.34
OG0000222,9.36
OG0000088,10.72
OG0000038,10.17
OG0000130,10.67
OG0000331,8.35
OG0000199,10.4
OG0000175,10.28
OG0000041,11.15
OG0000129,11.32
OG0000188,9.33
OG0000334,10.15
OG0000151,10.66
OG0000353,8.9
OG0000121,11.45
OG0000361,11.08
OG0000355,10.19
OG0000084,10.06
OG0000296,9.43
OG0000201,8.71
OG0000350,8.73
OG0000372,8.97
OG0000060,11.53
OG0000378,9.57
OG0000300,10.1
OG0000200,9.91
OG0000087,10.09
OG0000132,9.88
OG0000236,9.8
OG0000083,10.81
OG0000278,9.93
OG0000242,9.35
OG0000115,10.06
OG0000137,8.66
OG0000221,9.12
OG0000327,11.22
OG0000322,8.83
OG0000380,9.87
OG0000387,9.82
OG0000402,9.4
OG0000197,9.46
OG0000140,10.84
OG0000071,9.84
OG0000383,10.27
OG0000238,10.95
OG0000413,9.87
OG0000399,9.42
OG0000173,10.99
OG0000411,9.67
OG0000319,9.88
OG0000416,8.66
OG0000209,10.1
OG0000162,10.85
OG0000432,8.91
OG0000427,9.98
OG0000223,10.93
OG0000119,10.59
OG0000241,9.68
OG0000189,9.29
OG0000283,9.03
OG0000166,9.24
OG0000312,10.21
OG0000311,8.74
OG0000325,10.43
OG0000194,8.72
OG0000207,9.42
OG0000246,10.76
OG0000097,9.39
OG0000438,10.33
OG0000109,9.52
OG0000273,10.9
OG0000456,9.85
OG0000352,9.69
OG0000464,8.11
OG0000216,11.02
OG0000317,9.9
OG0000127,9.81
OG0000305,10.38
OG0000484,8.68
OG0000467,10.07
OG0000203,10.75
OG0000217,8.75
OG0000376,8.23
OG0000495,8.44
OG0000370,8.8
OG0000458,8.69
OG0000431,9.34
OG0000336,8.67
OG0000423,9.49
OG0000443,9.0
OG0000228,9.08
OG0000280,9.66
OG0000489,9.55
OG0000069,10.63
OG0000098,10.16
OG0000146,11.1
OG0000249,10.08
OG0000193,8.93
OG0000505,7.9
OG0000108,10.4
OG0000261,10.87
OG0000263,7.17
OG0000341,9.41
OG0000310,7.96
OG0000351,8.64
OG0000254,9.78
OG0000472,9.53
OG0000274,9.72
OG0000384,8.54
OG0000518,9.73
OG0000466,9.63
OG0000424,7.9
OG0000187,8.84
OG0000347,10.62
OG0000530,8.78
OG0000212,9.59
OG0000272,6.56
OG0000366,8.45
OG0000345,10.92
OG0000429,9.16
OG0000390,8.44
OG0000476,9.29
OG0000414,10.36
OG0000477,7.77
OG0000457,10.37
OG0000172,10.66
OG0000389,8.04
OG0000516,8.32
OG0000460,7.94
OG0000365,9.97
OG0000490,9.12
OG0000544,9.7
OG0000314,8.02
OG0000276,9.38
OG0000430,8.82
OG0000386,9.8
OG0000398,8.92
OG0000206,10.4
OG0000253,9.94
OG0000546,8.47
OG0000419,8.96
OG0000375,8.53
OG0000496,8.37
OG0000150,11.2
OG0000446,8.9
OG0000400,9.53
OG0000509,6.69
OG0000540,8.59
OG0000453,7.57
OG0000357,7.12
OG0000448,7.09
OG0000543,8.63
OG0000320,8.06
OG0000204,9.06
OG0000478,7.97
OG0000578,8.7
OG0000302,10.18
OG0000556,7.22
OG0000463,10.13
OG0000267,10.31
OG0000269,8.71
OG0000316,10.44
OG0000421,6.73
OG0000486,8.84
OG0000575,5.8
OG0000592,9.99
OG0000434,9.14
OG0000605,7.03
OG0000482,9.96
OG0000396,8.46
OG0000338,6.84
OG0000040,9.41
OG0000497,9.49
OG0000559,8.19
OG0000368,7.71
OG0000539,9.78
OG0000582,7.82
OG0000593,8.94
OG0000526,9.38
OG0000360,9.14
OG0000409,7.13
OG0000616,8.88
OG0000533,8.55
OG0000600,7.43
OG0000425,8.4
OG0000604,6.93
OG0000271,7.4
OG0000504,9.58
OG0000623,5.98
OG0000588,8.9
OG0000433,10.01
OG0000470,8.66
OG0000377,10.19
OG0000631,6.65
