Orthogroup	Agabi_varbur_1	Altal1	Altalt1	Altbr1	Altro1	Amamu1	Armost1	Ascsa1	Aspcam1	Aspnov1	Aspoch1	Asptaic1	Bauco1	Blugr2	BlugrR1_1	Boeex1	Botbo1	Botci1	Cadsp1	Cenge3	Chafu1	Chagl1	Chagl_1	Chalo1	Chame1	Clapu1	Cocsa1	Cocvi1	Colch1	Colhig2	Colto1	Copci1	Copph3	Corca1	Cylol1	Daces1	Dacma1	DalEC12_1	Denna1	Dipse1	Falor1	Fusco1	Fuscu1	Fuseq1	Fusfu1	Fusgr1	Fusox2	Fusoxy1	Fusoxys1	Fusre1	Fusso1	Fustr1	Fustri1	Fusve2	Fusven1	Gaegr1	Galma1	Geopyr1	Gigmar1	Gigro1	Gyman1	Hebcy2	Helo229	Hetan2	Ilyeu1	Lacbi2	Lepmu1	Lepor2	Lobtra1	Macph1	Macpha1	Maggr1	MagnaMG8	MagorGY11_1	Melbi2	Melva1	Micbo1	Mictri1	Morco1	Morel2	Morel_U14_1	Mycfi2	Mycgr3	Neodi1	Neora1	Neucr2	Oidma1	Olipa1	Parch1	Parchr1	Paxin1	Pensub1	Perma1	Phapo1	Phimu1	Phisc1	Pilcr1	Pismi1	Plecuc1	Plecucu2	PleosPC15_1	Pyrly1	Pyrsp1	Pyrtr1	Pyrtt1	Ramcocy1	Rhesp1	Rhice1_1	Rhicl1	Rhidi1	Rhier1	Rhiir2_1	Rhyag1	Rhyco1	Rhyse1	Schco1	Sclci1	Sclsc1	Sebve1	Sindi4	Sodal1	Sorhu1	Spogr1	Spore1	Spoth2	Stael1	Stano2	Stely1	Thacu1	Thite2	Tilin1	Trave1	Triat2	Trire2	TriviGv29_8_2	Truan1	Tubae1	Tubma1	Tulca1	U_tricho_v1	Ustbr1	Usthor1	Ustma2_2	Veral1	Verda1	VerdaJR2	Verdah1	Zalva1	Zpa63	Zymtr1
OG0007900	jgi|Agabi_varbur_1|51017|estExt_Genewise1.C_10709																																																																																																																																																					
OG0007901	jgi|Agabi_varbur_1|124156|Genemark.492_g																																																																																																																																																					
OG0007902	jgi|Agabi_varbur_1|25941|gw1.1.1583.1																																																																																																																																																					
OG0007903	jgi|Agabi_varbur_1|110902|estExt_fgenesh1_kg.C_10913																																																																																																																																																					
OG0007904	jgi|Agabi_varbur_1|124708|Genemark.1044_g																																																																																																																																																					
OG0007905	jgi|Agabi_varbur_1|110930|estExt_fgenesh1_kg.C_10941																																																																																																																																																					
OG0007906	jgi|Agabi_varbur_1|111590|estExt_fgenesh1_kg.C_20652																																																																																																																																																					
OG0007907	jgi|Agabi_varbur_1|82944|fgenesh1_kg.3_#_10_#_2_1183_CFAF_CFAG_CFAH_EXTA																																																																																																																																																					
OG0007908	jgi|Agabi_varbur_1|111764|estExt_fgenesh1_kg.C_30012																																																																																																																																																					
OG0007909	jgi|Agabi_varbur_1|126575|Genemark.2911_g																																																																																																																																																					
OG0007910	jgi|Agabi_varbur_1|112312|estExt_fgenesh1_kg.C_30585																																																																																																																																																					
OG0007911	jgi|Agabi_varbur_1|126584|Genemark.2920_g																																																																																																																																																					
OG0007912	jgi|Agabi_varbur_1|112323|estExt_fgenesh1_kg.C_40003																																																																																																																																																					
OG0007913	jgi|Agabi_varbur_1|112388|estExt_fgenesh1_kg.C_40070																																																																																																																																																					
OG0007914	jgi|Agabi_varbur_1|112950|estExt_fgenesh1_kg.C_40647																																																																																																																																																					
OG0007915	jgi|Agabi_varbur_1|127380|Genemark.3716_g																																																																																																																																																					
OG0007916	jgi|Agabi_varbur_1|113427|estExt_fgenesh1_kg.C_50402																																																																																																																																																					
OG0007917	jgi|Agabi_varbur_1|106759|estExt_fgenesh1_pg.C_60102																																																																																																																																																					
